Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
Prasun Banerjee,Elected,18-May-14,In office,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,B.Sc.,59,0,0,0,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Prathap Simha,Elected,18-May-14,In office,Karnataka,Mysore,Bharatiya Janata Party,Male,Post Graduate,Information not available,37,1,0,81,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Pratima Mondal,Elected,18-May-14,In office,West Bengal,Jaynagar,All India Trinamool Congress,Female,Post Graduate,Information not available,48,3,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Prem Das Rai,Elected,18-May-14,In office,Sikkim,Sikkim,Sikkim Democratic Front,Male,Graduate,"B.Tech. (Chemical) and P.G.D.M.; Educated at IIT, Kanpur and IIM Ahmedabad, Gujarat",60,9,0,21,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9,0,21,82%
Prem Singh Chandumajra,Elected,18-May-14,In office,Punjab,Anandpur Sahib,Shiromani Akali Dal,Male,Post Graduate,Information not available,64,10,0,31,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Priyanka Singh Rawat,Elected,18-May-14,In office,Uttar Pradesh,Barabanki,Bharatiya Janata Party,Female,Post Graduate,Information not available,28,4,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Purno Agitok Sangma,Elected,18-May-14,In office,Meghalaya,Tura,National Peoples Party,Male,Post Graduate,Information not available,66,1,0,3,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,1,5,0
Pushpendra Singh Chandel,Elected,18-May-14,In office,Uttar Pradesh,Hamirpur,Bharatiya Janata Party,Male,Post Graduate,Information not available,40,1,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
R. Gopalakrishnan,Elected,18-May-14,In office,Tamil Nadu,Madurai,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,45,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
R. Parthipan,Elected,18-May-14,In office,Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,50,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
R. Radhakrishnan,Elected,18-May-14,In office,Puducherry,Puducherry,All India N.R. Congress,Male,Post Graduate,Information not available,42,1,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,1,0,0,0
R. Vanaroja,Elected,18-May-14,In office,Tamil Nadu,Tiruvannamalai,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,Information not available,55,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
R.K. Bharathi Mohan,Elected,18-May-14,In office,Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,Information not available,47,6,0,7,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
R.P. Marutharajaa,Elected,18-May-14,In office,Tamil Nadu,Perambalur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,51,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
Rabindra Kumar Jena,Elected,18-May-14,In office,Odisha,Balasore,Biju Janata Dal,Male,Post Graduate,Information not available,46,14,0,15,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Radha Mohan Singh,Elected,18-May-14,In office,Bihar,Purvi Champaran,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar",64,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Radheshyam Biswas,Elected,18-May-14,In office,Assam,Karimganj,All India United Democratic Front,Male,Inter/ Higher Secondary,Information not available,59,1,0,13,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Raghav Lakhanpal,Elected,18-May-14,In office,Uttar Pradesh,Saharanpur,Bharatiya Janata Party,Male,Post Graduate,Information not available,39,1,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Rahul Gandhi,Elected,18-May-14,In office,Uttar Pradesh,Amethi,Indian National Congress,Male,Post Graduate,"M.Phil. (Development Economics); Educated at Trinity College, Cambridge University (UK) .",44,1,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Rahul Kaswan,Elected,18-May-14,In office,Rajasthan,Churu,Bharatiya Janata Party,Male,Graduate,Information not available,37,8,0,35,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Rahul Ramesh Shewale,Elected,18-May-14,In office,Maharashtra,Mumbai-South-Central,Shiv Sena,Male,others,Information not available,41,5,0,14,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Raj Kumar Saini,Elected,18-May-14,In office,Haryana,Kurukshetra,Bharatiya Janata Party,Male,Graduate,Information not available,60,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Raj Kumar Singh,Elected,18-May-14,In office,Bihar,Arrah,Bharatiya Janata Party,Male,Graduate,Information not available,61,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Rajan Baburao Vichare,Elected,18-May-14,In office,Maharashtra,Thane,Shiv Sena,Male,Under Matric,Information not available,52,2,0,21,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Rajeev Shankarrao Satav,Elected,18-May-14,In office,Maharashtra,Hingoli,Indian National Congress,Male,Graduate,Information not available,39,9,0,55,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Rajen Gohain,Elected,18-May-14,In office,Assam,Nawgong,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Anandaram Dhekial Phukan College, Nagaon and Jalukbari, Gauhati University, Guwahati (Assam) ",63,2,0,10,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Rajendra Agrawal,Elected,18-May-14,In office,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",64,12,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Rajesh Kumar Diwaker,Elected,18-May-14,In office,Uttar Pradesh,Hathras,Bharatiya Janata Party,Male,Graduate,Information not available,43,0,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Rajesh Pandey Urf Guddu,Elected,18-May-14,In office,Uttar Pradesh,Khushi Nagar,Bharatiya Janata Party,Male,Post Graduate,Information not available,55,0,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Rajesh Ranjan @ Pappu Yadav,Elected,18-May-14,In office,Bihar,Madhepura,Rashtriya Janata Dal,Male,Graduate,Information not available,46,15,0,42,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Rajesh Verma,Elected,18-May-14,In office,Uttar Pradesh,Sitapur,Bharatiya Janata Party,Male,Post Graduate,Information not available,54,3,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Rajiv Pratap Rudy,Elected,18-May-14,In office,Bihar,Saran,Bharatiya Janata Party,Male,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh",52,7,0,30,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Rajnath Singh,Elected,18-May-14,In office,Uttar Pradesh,Lucknow,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at Gorakhpur University, Uttar Pradesh",63,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Raju Shetti,Elected,18-May-14,In office,Maharashtra,Hatkanangle,Swabhimani Paksha,Male,Diploma Course,"D.M.E.; Educated at J. J. Magdum Polytechnic, Jaysingpur, Distt. Kolhapur, Maharashtra",47,2,1,43,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Rajveer Singh (Raju Bhaiya),Elected,18-May-14,In office,Uttar Pradesh,Etah,Bharatiya Janata Party,Male,Graduate,Information not available,53,2,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Rajyavardhan Singh Rathore,Elected,18-May-14,In office,Rajasthan,Jaipur Rural,Bharatiya Janata Party,Male,Graduate,Information not available,44,1,0,5,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Rakesh Singh,Elected,18-May-14,In office,Madhya Pradesh,Jabalpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at Government Science College, Jabalpur",52,6,0,16,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Raksha Nikhil Khadase,Elected,18-May-14,In office,Maharashtra,Raver,Bharatiya Janata Party,Female,Graduate,Information not available,26,4,0,8,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Ram Chandra Paswan,Elected,18-May-14,In office,Bihar,Samastipur,Lok Jan Shakti Party,Male,Under Matric,Information not available,53,1,0,0,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Ram Charitra Nishad,Elected,18-May-14,In office,Uttar Pradesh,Machhlishahr,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,46,5,0,38,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Ram Kripal Yadav,Elected,18-May-14,In office,Bihar,Pataliputra,Bharatiya Janata Party,Male,Professional Graduate,"B.A.(Hons.), LL.B. ; Educated at Magadh University, Patna (Bihar)",56,13,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Ram Kumar Sharma,Elected,18-May-14,In office,Bihar,Sitamarhi,Rashtriya Lok Samta Party,Male,Post Graduate,Information not available,50,2,0,2,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Ram Prasad Sarmah,Elected,18-May-14,In office,Assam,Tezpur,Bharatiya Janata Party,Male,Graduate,Information not available,58,1,0,3,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Ram Swaroop Sharma,Elected,18-May-14,In office,Himachal Pradesh,Mandi,Bharatiya Janata Party,Male,Under Matric,Information not available,55,0,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,19,93%
Ram Tahal Choudhary,Elected,18-May-14,In office,Jharkhand,Ranchi,Bharatiya Janata Party,Male,Under Matric,Information not available,72,6,0,39,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Ram Vilas Paswan,Elected,18-May-14,In office,Bihar,Hajipur,Lok Jan Shakti Party,Male,Professional Post Graduate,"M.A., LL.B., D.Litt (Honoris Causa) conferred by Bundelkhand University, Jhansi (Madhya Pradesh) ; Educated at Kosi College, Khagaria and Patna University, Patna (Bihar)",68,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Rama Chandra Hansdah,Elected,18-May-14,In office,Odisha,Mayurbhanj,Biju Janata Dal,Male,Graduate,Information not available,39,3,0,3,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Rama Devi,Elected,18-May-14,In office,Bihar,Sheohar,Bharatiya Janata Party,Female,Graduate,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",65,12,0,45,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Rama Kishore Singh,Elected,18-May-14,In office,Bihar,Vaishali,Lok Jan Shakti Party,Male,Graduate,Information not available,51,6,0,3,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Ramachandran Mullappally,Elected,18-May-14,In office,Kerala,Vadakara,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Government College, Madappally, Kerala University and Law College, Calicut, Kerala",69,11,2,76,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Ramcharan Bohara,Elected,18-May-14,In office,Rajasthan,Jaipur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,56,3,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Ramdas Chandrabhanji Tadas,Elected,18-May-14,In office,Maharashtra,Wardha,Bharatiya Janata Party,Male,Under Matric,Information not available,60,6,0,24,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Ramen Deka,Elected,18-May-14,In office,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,B.A.; Educated at Pragjyotish College under Guwahati University,60,5,0,3,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Ramesh Bais,Elected,18-May-14,In office,Chhattisgarh,Raipur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at B.S.E., Bhopal, Madhya Pradesh",67,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Ramesh Bidhuri,Elected,18-May-14,In office,Delhi,South Delhi,Bharatiya Janata Party,Male,Graduate,Information not available,52,6,0,5,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.7,0,2,93%
Ramesh Chandappa Jigajinagi,Elected,18-May-14,In office,Karnataka,Bijapur,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka",62,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Ramesh Chander,Elected,18-May-14,In office,Haryana,Sonipat,Bharatiya Janata Party,Male,Graduate,Information not available,54,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Ramesh Pokhriyal Nishank,Elected,18-May-14,In office,Uttarakhand,Hardwar,Bharatiya Janata Party,Male,Doctorate,Information not available,54,12,3,3,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.2,0.6,2,88%
Rameswar Teli,Elected,18-May-14,In office,Assam,Dibrugarh,Bharatiya Janata Party,Male,Under Matric,Information not available,43,5,0,5,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Rammohan Naidu Kinjarapu,Elected,18-May-14,In office,Andhra Pradesh,Srikakulam,Telugu Desam Party,Male,Post Graduate,Information not available,27,2,0,47,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Ramshankar,Elected,18-May-14,In office,Uttar Pradesh,Agra,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Kanpur University, Uttar Pradesh",49,9,0,11,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Ramsinhbhai Patalyabhai Rathwa,Elected,18-May-14,In office,Gujarat,Chhota Udaipur,Bharatiya Janata Party,Male,Post Diploma Course,"S.S.C., Diploma in Painting, Post-Diploma in Graphic, short-term training course in Museology; Educated at Kawant English School, Chhota Udaipur, Faculty of Fine Arts, M.S. University, Baroda (Gujarat) and National Museum, New Delhi",63,4,0,63,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Ranjeet Ranjan,Elected,18-May-14,In office,Bihar,Supaul,Indian National Congress,Female,Inter/ Higher Secondary,Information not available,41,10,0,37,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Ranjit Singh Brahmpura,Elected,18-May-14,In office,Punjab,Khadoor Sahib,Shiromani Akali Dal,Male,Under Matric,Information not available,76,0,0,0,59, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Raosaheb Patil Danve,Elected,18-May-14,In office,Maharashtra,Jalna,Bharatiya Janata Party,Male,Under Graduate,"Educated at J.E.S., Jalna, Maharashtra",59,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Rathod Dipsinh Shankarsinh,Elected,18-May-14,In office,Gujarat,Sabarkantha,Bharatiya Janata Party,Male,Under Matric,Information not available,62,1,0,6,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Ratna De,Elected,18-May-14,In office,West Bengal,Hooghly,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., D.C.H.; Educated at R.G. Kar Medical College & Institute of Child Health, Calcutta University",65,11,0,18,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Rattan Lal Kataria,Elected,18-May-14,In office,Haryana,Ambala,Bharatiya Janata Party,Male,Post Graduate,Information not available,62,6,0,30,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Ravindra Kumar Pandey,Elected,18-May-14,In office,Jharkhand,Giridih,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.V. College (Ranchi University), Kathara (Bihar) ",55,19,0,9,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Ravindra Kumar Ray,Elected,18-May-14,In office,Jharkhand,Kodarma,Bharatiya Janata Party,Male,Doctorate,Information not available,50,5,0,6,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Ravindra Kushawaha,Elected,18-May-14,In office,Uttar Pradesh,Salempur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,50,5,0,17,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Ravindra Vishwanath Gaikwad,Elected,18-May-14,In office,Maharashtra,Osmanabad,Shiv Sena,Male,Post Graduate,Information not available,54,2,0,7,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Ravneet Singh,Elected,18-May-14,In office,Punjab,Ludhiana,Indian National Congress,Male,Graduate,"B.C.A., Educated at Guru Nanak Public School, Chandigarh and Eastern Institute for Integrated Learning in Management University, Sikkim",38,4,0,56,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Rekha Verma,Elected,18-May-14,In office,Uttar Pradesh,Dhaurahra,Bharatiya Janata Party,Female,Under Matric,Information not available,32,3,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Renuka Sinha,Elected,18-May-14,In office,West Bengal,Cooch Behar,All India Trinamool Congress,Female,Graduate,Information not available,65,0,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Rita Tarai,Elected,18-May-14,In office,Odisha,Jajpur,Biju Janata Dal,Female,Inter/ Higher Secondary,Information not available,37,1,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Riti Pathak,Elected,18-May-14,In office,Madhya Pradesh,Sidhi,Bharatiya Janata Party,Female,Post Graduate,Information not available,36,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Rodmal Nagar,Elected,18-May-14,In office,Madhya Pradesh,Rajgarh,Bharatiya Janata Party,Male,Graduate,Information not available,53,0,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
S. Rajendran,Elected,18-May-14,In office,Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,57,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
S. Selvakumara Chinnayan,Elected,18-May-14,In office,Tamil Nadu,Erode,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,55,5,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
S.P. Muddahanumegowda,Elected,18-May-14,In office,Karnataka,Tumkur,Indian National Congress,Male,Graduate,Information not available,59,3,0,22,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
S.P.Y. Reddy,Elected,18-May-14,In office,Andhra Pradesh,Nandyal,Telugu Desam Party,Male,Graduate,"B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",64,0,0,0,45, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
S.R. Vijayakumar,Elected,18-May-14,In office,Tamil Nadu,Chennai Central,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,40,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
S.S. Ahluwalia,Elected,18-May-14,In office,West Bengal,Darjeeling,Bharatiya Janata Party,Male,Graduate,"B.Sc., LL.B. Educated at St. Joseph School, Asansol, Bidhan Chandra College, Burdwan University and University College of Law, Calcutta University, West Bengal ",63,6,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sadashiv Kisan Lokhande,Elected,18-May-14,In office,Maharashtra,Shirdi,Shiv Sena,Male,Under Matric,Information not available,51,0,0,57,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
